参る,参上する。[謙譲語]、貴い場所に上がる＝まうず、まうで来る
まかる, 退出する。
うたて, あまりひどく。情けなく
くまなし, 暗い所がない。影がない
さがなし, 手に負えない。意地悪い
さぶらふ(サブロウ)[謙譲語], お仕えする[謙譲語]
さぶらふ(サブロウ)[丁寧語], ございます[丁寧語]
しげし, いっぱいである
なほざり(ナオザリ), おろそかだ
すずろ,何となく。思いがけなく
とく,すみやかに。急いで
殿ばら,身分の高い人々(男性)
とみ,急ぎ。にわか
はた,しかしながら。その上また
聞かばや,聞きたい、「ーばや」＝～したい
ばや,もし～なら～だろうか
本意(ホイ),本来の目的
まさなし,(正無し)よくない。見苦しい。ひきょうにも
かたぶく, 衰(おとろ)える
齢(よわい)かたぶく,年をとる
