in the end,結局は、最後に
in this way,このようにして
leave for～,～に向けて出発する
look ～ in the eye,～の目をまっすぐ見る
look out of ～,～から外を見る
lose one's way,道に迷う
make up ～,～を作り上げる、～を構成する
​make use of ～,～を利用する、～を活用する
not ～ but ...,～ではなく…
on television,テレビで
remember ～ing,～したことを覚えている
remember to ～,忘れずに～する
stand for～,～を表す、～を象徴する
stay home,家にいる、家でじっとしている
stay in bed,(病気などで)寝ている
throw out～,～を投げ捨てる、～を捨てる
～ times as ーas ...,...の～倍の ー
up and down,上下に、上がったり下がったり、行ったり来たり
