あはれ(ｱﾜﾚ),しみじみとした趣がある
をかし(ｵｶｼ),風情がある。みごとだ。興味深い。趣がある。
あやし,不思議だ。粗末だ
ありがたし,珍しい。まれだ
うつくし,かわいらしい
おとなし,大人らしい(―びている)
おどろく,はっとして気づく。目を覚ます。
おほかた(ｵｵｶﾀ),まったく…(ない…否定)
おもしろし,趣深い。風流だ
かなし,いとしい。心ひかれる。かわいそうだ。
さうざうし(ｿｳｿﾞｳｼ),ものたりない。心さびしい
さらに,まったく…(ない…否定)
すさまじ,興ざめだ。ひどい
すでに,すっかり。ちょうど。まさに
すなはち(ｽﾅﾜﾁ),すぐに		
ついで,続き。順序。おり
めでたし,すばらしい。立派だ
わろし,みっともない。まずい
