いと,たいそう。まったく
あまた,たくさん
げに,本当に。現実に
かく,このように
かばかり,こんなにも。この程度
おはす(ｵﾜｽ),いらつしゃる[尊敬語]
おぼす,お思いになる[尊敬語]
たまふ(ﾀﾓｳ),くださる[尊敬語]、いただく[謙譲語]
～たまへ,お～ください
つかうまつる(ﾂｺｳﾏﾂﾙ),いたす[謙譲語]
あいなし,つまらない
あらまほし(ｱﾗﾏｵｼ),望ましい
いさ(知らず),さあどうだか(よく分からない)
ことさむ,興ざめする
そこはかと(そこはかとなく),何となく
たてまつる[尊敬語],召しあがる。お召しになる[尊敬語]
たてまつる[謙譲語],さしあげる。お…申し上げる[謙譲語]
つきづきし,似つかわしい
つれづれ,特にすることがない
さらなり,言うまでもない
