set up ～,～を設立する、～を組み立てる
stay away from ～,～に近寄らない、～から離れている
take a trip (to ～),(～へ)旅行する
take back ～,～を撤回する、～を返品する、取り戻す、連れ戻す
go fishing,釣りに行く
go shopping,買い物に行く
go skiing,スキーに行く
to the last,最後まで
turn off ～,(テレビや電気などを)消す、止める
all year round,一年中
at the age of ～,～歳の時に
at (the) table,食事中で
be pleased with ～,～に喜んでいる、満足している
first of all,まず第一に
get away,逃げる、離れる、立ち去る
get ready (for ～),(～の)準備をする
happen to,たまたま～する、～に(事故などが)起こる
have a cold,風邪をひいている
