のたまふ(ﾉﾀﾓｳ),おっしゃる
まらうど(ﾏﾛｳﾄﾞ), 客。まれに訪れる人の意
むげなり, 言いようもなくひどい
えならず, 言いようがなく立派だ
さらでも, そうでなくても
つゆ, まったく…(ない)
やむごとなし(ﾔﾝｺﾞﾄﾅｼ), たいへん尊い
ゆかし, 知りたい。見たい
よも, まさか…(ない)
らうたし(ﾛｳﾀｼ), 愛らしい
をりふし(ｵﾘﾌｼ), 季節。時。
をりしも(ｵﾘｼﾓ), ちょうどその時。おりから
具す(ぐす), 連れる。従って行く
いみじ, はなはだしい。ひどい
いたづらに(ｲﾀｽﾞﾗﾆ), むだに。むなしい。
いはむかたなし(ｲﾜﾝｶﾀﾅｼ), 言いようがない
おぼつかなし, はっきりしない。
はべり[尊敬語], ございます[尊敬語]
はべり[謙譲語],  あります。おります。お仕えする[謙譲語]
いとど, いよいよ。ますます
