にほふ(ﾆｵｳ),きわだって美しく目に映る
ねんず,がまんする。
やや,少しずつ。しだいに
わたる,通る。行く。一面に…する
ののしる,大声で騒ぐ
めづ,心引かれる
うし,つらい
案内(あない),従者に取次を求めること
をかしげ(ｵｶｼｹﾞ),かわいらしい
心あり,情趣がわかる
心うし,つらい。いやだ。残念だ
心さかし,気持ちがしっかりしている(心さかしき者)
心もとなし, 不安だ
心やすし,安心だ
はづかし,こちらが恥ずかしくなるほどすぐれている
なほ(ﾅｵ),やはり
