ふと,簡単に。すっと
むつかし,気がふさぐ。恐ろしい
やうやう(ﾖｳﾖｳ),しだいに。だんだんと
やがて,すぐに。そのまま
居(い)る,座る。座っている
いとほし(ｲﾄｵｼ),気の毒だ。かわいそうだ
あさまし,驚きあきれるばかりである
きこゆ,申し上げる
つれなし,平気だ。表面に出さない
あからさま,ふと。ちょっと
妹(いも),女性を親しんで呼ぶ語。妻。恋人　(⇔背)
背(せ),夫
けしき,ようす。態度。情趣(じょうしゅ)
年ころ,長い年月。年配
なさけなし,無風流だ。思いやりがない
やさし,たえがたい。恥ずかしい。優美だ。素直だ
ゆゆし,おそれ多い。たいへん
うるわし,すばらしい
