neither ～ nor ...,～も…もどちらも～ない
on foot,徒歩で
one after another,次から次へと、続々と
to one's surprise,(～が)驚いたことに
turn on ～,(テレビや電気などを)つける
all at once,突然、一斉に
as far as ～,～する限りでは、～まで
as usual,いつものように
be sick in bed,病気で寝ている
be tired of ～,～に飽きている、うんざりしている
begin with ～,～から始まる
carry out,実行する、成し遂げる
from time to time,時々
most of all,とりわけ、一番に
see ～ off,～を見送る
go out of,～から外へ出る
have a good sleep,ぐっすり眠る
have a hard time,苦労する、大変な目に遭う
